ID,Name,Form,IsCaught,IsShiny
57,성원숭,Normal,FALSE,FALSE
58,가디,Normal,FALSE,FALSE
59,윈디,Normal,FALSE,FALSE
60,발챙이,Normal,FALSE,FALSE
61,슈륙챙이,Normal,FALSE,FALSE
62,강챙이,Normal,FALSE,FALSE
63,캐이시,Normal,FALSE,FALSE
64,윤겔라,Normal,FALSE,FALSE
65,후딘,Normal,FALSE,FALSE
66,알통몬,Normal,FALSE,FALSE
67,근육몬,Normal,FALSE,FALSE
68,괴력몬,Normal,FALSE,FALSE
69,모다피,Normal,FALSE,FALSE
70,우츠동,Normal,FALSE,FALSE
71,우츠보트,Normal,FALSE,FALSE
72,왕눈해,Normal,FALSE,FALSE
73,독파리,Normal,FALSE,FALSE
74,꼬마돌,Normal,FALSE,FALSE
75,데구리,Normal,FALSE,FALSE
76,딱구리,Normal,FALSE,FALSE
77,포니타,Normal,FALSE,FALSE
78,날쌩마,Normal,FALSE,FALSE
79,야돈,Normal,FALSE,FALSE
80,야도란,Normal,FALSE,FALSE
81,코일,Normal,FALSE,FALSE
82,레어코일,Normal,FALSE,FALSE
83,파오리,Normal,FALSE,FALSE
84,두두,Normal,FALSE,FALSE
85,닥트리오,Normal,FALSE,FALSE
86,쥬쥬,Normal,FALSE,FALSE
87,쥬레곤,Normal,FALSE,FALSE
88,질퍽이,Normal,FALSE,FALSE
89,질뻐기,Normal,FALSE,FALSE
90,셀러,Normal,FALSE,FALSE
91,파르셀,Normal,FALSE,FALSE
92,고오스,Normal,FALSE,FALSE
93,고우스트,Normal,FALSE,FALSE
94,팬텀,Normal,FALSE,FALSE
95,롱스톤,Normal,FALSE,FALSE
96,슬리프,Normal,FALSE,FALSE
97,슬리퍼,Normal,FALSE,FALSE
98,크랩,Normal,FALSE,FALSE
99,킹크랩,Normal,FALSE,FALSE
100,찌리리공,Normal,FALSE,FALSE
101,붐볼,Normal,FALSE,FALSE
102,아라리,Normal,FALSE,FALSE
103,나시,Normal,FALSE,FALSE
104,탕구리,Normal,FALSE,FALSE
105,텅구리,Normal,FALSE,FALSE
106,시라소몬,Normal,FALSE,FALSE
107,홍수몬,Normal,FALSE,FALSE
108,내루미,Normal,FALSE,FALSE
109,또가스,Normal,FALSE,FALSE
110,또도가스,Normal,FALSE,FALSE
111,뿔카노,Normal,FALSE,FALSE
112,꼬뿌리,Normal,FALSE,FALSE
113,럭키,Normal,FALSE,FALSE
114,덩쿠리,Normal,FALSE,FALSE
115,캥카,Normal,FALSE,FALSE
116,쏘드라,Normal,FALSE,FALSE
117,시드라,Normal,FALSE,FALSE
118,콘치,Normal,FALSE,FALSE
119,왕콘치,Normal,FALSE,FALSE
120,별가사리,Normal,FALSE,FALSE
121,아쿠스타,Normal,FALSE,FALSE
122,마임맨,Normal,FALSE,FALSE
123,스라크,Normal,FALSE,FALSE
124,루즈라,Normal,FALSE,FALSE
125,에레브,Normal,FALSE,FALSE
126,마그마,Normal,FALSE,FALSE
127,쁘사이저,Normal,FALSE,FALSE
128,켄타로스,Normal,FALSE,FALSE
129,잉어킹,Normal,FALSE,FALSE
130,갸라도스,Normal,FALSE,FALSE
131,라프라스,Normal,FALSE,FALSE
132,메타몽,Normal,FALSE,FALSE
133,이브이,Normal,FALSE,FALSE
134,샤미드,Normal,FALSE,FALSE
135,쥬피썬더,Normal,FALSE,FALSE
136,부스터,Normal,FALSE,FALSE
137,폴리곤,Normal,FALSE,FALSE
138,암나이트,Normal,FALSE,FALSE
139,암스타,Normal,FALSE,FALSE
140,투구,Normal,FALSE,FALSE
141,투구푸스,Normal,FALSE,FALSE
142,프테라,Normal,FALSE,FALSE
143,잠만보,Normal,FALSE,FALSE
144,프리저,Normal,FALSE,FALSE
145,썬더,Normal,FALSE,FALSE
146,파이어,Normal,FALSE,FALSE
147,미뇽,Normal,FALSE,FALSE
148,신뇽,Normal,FALSE,FALSE
149,망나뇽,Normal,FALSE,FALSE
150,뮤츠,Normal,FALSE,FALSE
151,뮤,Normal,FALSE,FALSE
